package_name,package_type,versions,xray_ids
02-echo,npm,[0.0.7],XRAY-898290
@accordproject/concerto-analysis,npm,[3.24.1],XRAY-898229
@accordproject/concerto-linter,npm,[3.24.1],XRAY-898074
@accordproject/concerto-linter-default-ruleset,npm,[3.24.1],XRAY-898234
@accordproject/concerto-metamodel,npm,[3.12.5],XRAY-898133
@accordproject/concerto-types,npm,[3.24.1],XRAY-897970
@accordproject/markdown-it-cicero,npm,[0.16.26],XRAY-898049
@accordproject/template-engine,npm,[2.7.2],XRAY-898180
@actbase/css-to-react-native-transform,npm,[1.0.3],XRAY-898223
@actbase/native,npm,[0.1.32],XRAY-898511
@actbase/node-server,npm,[1.1.19],XRAY-898467
@actbase/react-absolute,npm,[0.8.3],XRAY-897914
@actbase/react-daum-postcode,npm,[1.0.5],XRAY-898243
@actbase/react-kakaosdk,npm,[0.9.27],XRAY-898226
@actbase/react-native-actionsheet,npm,[1.0.3],XRAY-897977
@actbase/react-native-devtools,npm,[0.1.3],XRAY-898164
@actbase/react-native-fast-image,npm,[8.5.13],XRAY-898046
@actbase/react-native-kakao-channel,npm,[1.0.2],XRAY-898503
@actbase/react-native-kakao-navi,npm,[2.0.4],XRAY-898136
@actbase/react-native-less-transformer,npm,[1.0.6],XRAY-898459
@actbase/react-native-naver-login,npm,[1.0.1],XRAY-898134
@actbase/react-native-simple-video,npm,[1.0.13],XRAY-898004
@actbase/react-native-tiktok,npm,[1.1.3],XRAY-897905
@afetcan/api,npm,[0.0.13],XRAY-898623
@afetcan/storage,npm,[0.0.27],XRAY-898630
ai-crowl-shield,npm,[1.0.7],XRAY-898098
@alaan/s2s-auth,npm,[2.0.3],XRAY-897939
@alexadark/amadeus-api,npm,[1.0.4],XRAY-898595
@alexadark/gatsby-theme-events,npm,[1.0.1],XRAY-898587
@alexadark/gatsby-theme-wordpress-blog,npm,[2.0.1],XRAY-898588
@alexadark/reusable-functions,npm,[1.5.1],XRAY-898580
@alexcolls/nuxt-socket.io,npm,"[0.0.8], [0.0.7]",XRAY-897976
@alexcolls/nuxt-ux,npm,"[0.6.1], [0.6.2]",XRAY-898367
@antstackio/eslint-config-antstack,npm,[0.0.3],XRAY-898326
@antstackio/express-graphql-proxy,npm,[0.2.8],XRAY-897906
@antstackio/graphql-body-parser,npm,[0.1.1],XRAY-897922
@antstackio/json-to-graphql,npm,[1.0.3],XRAY-898485
@antstackio/shelbysam,npm,[1.1.7],XRAY-898508
arc-cli-fc,npm,[1.0.1],XRAY-897961
@aryanhussain/my-angular-lib,npm,[0.0.23],XRAY-897984
asciitranslator,npm,[1.0.3],XRAY-898579
@asyncapi/avro-schema-parser,npm,"[3.0.26], [3.0.25]",XRAY-898488
@asyncapi/bundler,npm,"[0.6.5], [0.6.6]",XRAY-898251
@asyncapi/cli,npm,"[4.1.2], [4.1.3]",XRAY-898365
@asyncapi/converter,npm,"[1.6.3], [1.6.4]",XRAY-898020
@asyncapi/diff,npm,"[0.5.1], [0.5.2]",XRAY-898296
@asyncapi/dotnet-rabbitmq-template,npm,"[1.0.2], [1.0.1]",XRAY-897913
@asyncapi/edavisualiser,npm,"[1.2.2], [1.2.1]",XRAY-898059
@asyncapi/generator,npm,"[2.8.6], [2.8.5]",XRAY-898490
@asyncapi/generator-components,npm,"[0.3.3], [0.3.2]",XRAY-898159
@asyncapi/generator-helpers,npm,"[0.2.1], [0.2.2]",XRAY-898443
@asyncapi/generator-react-sdk,npm,"[1.1.4], [1.1.5]",XRAY-898067
@asyncapi/go-watermill-template,npm,"[0.2.76], [0.2.77]",XRAY-898184
@asyncapi/html-template,npm,"[3.3.2], [3.3.3]",XRAY-898227
@asyncapi/java-spring-cloud-stream-template,npm,"[0.13.5], [0.13.6]",XRAY-898144
@asyncapi/java-spring-template,npm,"[1.6.2], [1.6.1]",XRAY-898115
@asyncapi/java-template,npm,"[0.3.6], [0.3.5]",XRAY-898013
@asyncapi/keeper,npm,"[0.0.3], [0.0.2]",XRAY-898060
@asyncapi/markdown-template,npm,"[1.6.9], [1.6.8]",XRAY-898131
@asyncapi/modelina,npm,"[5.10.2], [5.10.3]",XRAY-898108
@asyncapi/modelina-cli,npm,"[5.10.2], [5.10.3]",XRAY-898419
@asyncapi/multi-parser,npm,"[2.2.2], [2.2.1]",XRAY-898267
@asyncapi/nodejs-template,npm,"[3.0.6], [3.0.5]",XRAY-898405
@asyncapi/nodejs-ws-template,npm,"[0.10.1], [0.10.2]",XRAY-898297
@asyncapi/nunjucks-filters,npm,"[2.1.2], [2.1.1]",XRAY-898285
@asyncapi/openapi-schema-parser,npm,"[3.0.26], [3.0.25]",XRAY-898387
@asyncapi/optimizer,npm,"[1.0.6], [1.0.5]",XRAY-898462
@asyncapi/parser,npm,"[3.4.2], [3.4.1]",XRAY-898327
@asyncapi/php-template,npm,"[0.1.2], [0.1.1]",XRAY-898154
